circoscrizione,num_uni,nome_collegio,regione,macro_area,vincitore_coal,vincitore_lista,vincitore_pct,secondo_coal,secondo_pct,margine_pp,pct_CDX,pct_CSX,pct_M5S,pct_CENTRO,fonte
EMILIA-ROMAGNA,1,EMILIA-ROMAGNA - U01,Emilia-Romagna,Nord-Est,CDX,,55.3,CSX,39.5,15.8,55.3,39.5,3.3,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,2,EMILIA-ROMAGNA - U02,Emilia-Romagna,Nord-Est,CSX,,47.6,CDX,45.9,1.6,45.9,47.6,3.7,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,3,EMILIA-ROMAGNA - U03,Emilia-Romagna,Nord-Est,CSX,,59.9,CDX,33.0,27.0,33.0,59.9,3.8,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,4,EMILIA-ROMAGNA - U04,Emilia-Romagna,Nord-Est,CSX,,56.8,CDX,36.9,19.9,36.9,56.8,3.7,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,5,EMILIA-ROMAGNA - U05,Emilia-Romagna,Nord-Est,CSX,,56.0,CDX,37.5,18.5,37.5,56.0,3.4,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,6,EMILIA-ROMAGNA - U06,Emilia-Romagna,Nord-Est,CSX,,60.8,CDX,31.6,29.2,31.6,60.8,3.4,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,7,EMILIA-ROMAGNA - U07,Emilia-Romagna,Nord-Est,CSX,,55.0,CDX,38.6,16.4,38.6,55.0,3.5,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,8,EMILIA-ROMAGNA - U08,Emilia-Romagna,Nord-Est,CSX,,56.9,CDX,37.5,19.3,37.5,56.9,3.4,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,9,EMILIA-ROMAGNA - U09,Emilia-Romagna,Nord-Est,CDX,,47.7,CSX,46.1,1.6,47.7,46.1,3.4,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,10,EMILIA-ROMAGNA - U10,Emilia-Romagna,Nord-Est,CSX,,55.1,CDX,38.8,16.2,38.8,55.1,3.6,0.0,eligendo_opendata_regionali_20241117
EMILIA-ROMAGNA,11,EMILIA-ROMAGNA - U11,Emilia-Romagna,Nord-Est,CSX,,49.2,CDX,44.2,4.9,44.2,49.2,3.7,0.0,eligendo_opendata_regionali_20241117
